"","Sender","Ligand","Expr_Ligand","Receiver","Receptor","Expr_Receptor"
"1","Treg","LGALS9",59.033735680348,"Treg","PTPRC",823.770593352019
"2","Treg","LGALS9",59.033735680348,"DC","PTPRC",231.598454839699
"5","Treg","LGALS9",59.033735680348,"B","PTPRC",681.802207159516
"6","Treg","LGALS9",59.033735680348,"CD8+ T","PTPRC",901.052324024166
"7","Treg","LGALS9",59.033735680348,"M","PTPRC",338.812896062413
"8","Treg","LGALS9",59.033735680348,"NK","PTPRC",702.090098523044
"12","Treg","LGALS9",59.033735680348,"Endo","MET",19.1922234493704
"13","Treg","LGALS9",59.033735680348,"CAF","MET",14.7479762766433
"18","Treg","LGALS9",59.033735680348,"Tumor","MET",50.47
"19","Treg","LGALS9",59.033735680348,"Treg","CD44",665.333158956994
"20","Treg","LGALS9",59.033735680348,"DC","CD44",829.010967671835
"21","Treg","LGALS9",59.033735680348,"Endo","CD44",102.349077050019
"22","Treg","LGALS9",59.033735680348,"CAF","CD44",1676.56986671989
"23","Treg","LGALS9",59.033735680348,"B","CD44",377.122930221946
"24","Treg","LGALS9",59.033735680348,"CD8+ T","CD44",649.425545403604
"25","Treg","LGALS9",59.033735680348,"M","CD44",1290.91442624787
"26","Treg","LGALS9",59.033735680348,"NK","CD44",836.585331715381
"27","Treg","LGALS9",59.033735680348,"Tumor","CD44",273.31
"29","Treg","LGALS9",59.033735680348,"DC","LRP1",50.8099301931866
"31","Treg","LGALS9",59.033735680348,"CAF","LRP1",187.367443185829
"34","Treg","LGALS9",59.033735680348,"M","LRP1",197.218428773723
"36","Treg","LGALS9",59.033735680348,"Tumor","LRP1",15.28
"37","Treg","LGALS9",59.033735680348,"Treg","CD47",147.06982284516
"38","Treg","LGALS9",59.033735680348,"DC","CD47",117.867251252302
"39","Treg","LGALS9",59.033735680348,"Endo","CD47",41.8146155063746
"40","Treg","LGALS9",59.033735680348,"CAF","CD47",28.9803948903669
"41","Treg","LGALS9",59.033735680348,"B","CD47",190.197715582894
"42","Treg","LGALS9",59.033735680348,"CD8+ T","CD47",155.790121928588
"43","Treg","LGALS9",59.033735680348,"M","CD47",128.025465586055
"44","Treg","LGALS9",59.033735680348,"NK","CD47",138.044650928836
"45","Treg","LGALS9",59.033735680348,"Tumor","CD47",56.07
"48","Treg","LGALS9",59.033735680348,"Endo","PTPRK",87.8635357449913
"49","Treg","LGALS9",59.033735680348,"CAF","PTPRK",31.796399977912
"50","Treg","LGALS9",59.033735680348,"B","PTPRK",43.208090530987
"57","Treg","LGALS9",59.033735680348,"Endo","COLEC12",16.7468121252426
"58","Treg","LGALS9",59.033735680348,"CAF","COLEC12",14.4909171349054
"61","Treg","LGALS9",59.033735680348,"M","COLEC12",58.1845186584533
"64","Treg","LGALS9",59.033735680348,"Treg","HAVCR2",20.5062799098836
"65","Treg","LGALS9",59.033735680348,"DC","HAVCR2",163.312406440955
"66","Treg","LGALS9",59.033735680348,"Endo","HAVCR2",10.2764717932134
"67","Treg","LGALS9",59.033735680348,"CAF","HAVCR2",10.6037847577966
"68","Treg","LGALS9",59.033735680348,"B","HAVCR2",11.5151065940028
"69","Treg","LGALS9",59.033735680348,"CD8+ T","HAVCR2",16.3757719929669
