"","DC","CD8","Treg","B","M1","M2","Endo","CAF","NK","Tumor"
"TCGA-3N-A9WB-06",0.00238498306238214,0.000476323497678437,0.0108919109655609,0.00374253354112422,0.0145427984959003,0.00061684801474041,0.00716542552337754,0.0177844131467682,6.11060923757887e-10,0.942394763141407
"TCGA-3N-A9WC-06",0.0627159754761746,0.0807858942705007,0.020231550161365,0.0140745251704481,0.0559913205574828,0.0229818214630873,0.00471881193925137,0.0194074440737629,0.0006783485792678,0.718414308308659
"TCGA-3N-A9WD-06",0.0124954415743524,0.0166497814435498,0,0.0211906281029877,0.0216980463188282,0.0147559648148046,0.0124430882281856,0.00715389134141189,0.000635180485965324,0.892977977689915
"TCGA-BF-A1PU-01",0.000942248972777828,0,0,0,0.0230684703463021,0,0.0251843271959056,0.0386878850142422,4.68007505509465e-09,0.912117063790697
"TCGA-BF-A1PV-01",0.00316402028270579,0,0.0130245723717292,0.00312912104455581,0.0108690553056967,0,0.0200078530416589,0.0244889970667183,9.37140165669627e-10,0.925316379949795
"TCGA-BF-A1PX-01",0.0335599256418251,0.0961925687287881,0.0130993716085303,0.0075564894646502,0.0401230947822252,0.0409290963177152,0.0469095045552929,0.0808570558211165,0.00963517005358122,0.631137723026275
"TCGA-BF-A1PZ-01",0.00403616868201089,0.00772275798228416,0.00783626472634139,0.00335075977195374,0.00829020239595532,0.00118236536861935,1.76890130286674e-06,0.0132845147874204,0.000408375207300293,0.953886822176812
"TCGA-BF-A1Q0-01",0.0244067602898802,0.00705296264456956,0.0133119102789016,0,0.0223621511833131,0,0.010408735935662,0.0138440474982768,0.000766962979645964,0.907846469189751
"TCGA-BF-A3DJ-01",0.0350129343422048,0.00623173938849764,0.0264046372838347,0.0025549595681483,0.108896614503838,0.0279240754536926,0.0105553767392161,0.00615583624813963,0.00102854194841985,0.775235284524008
"TCGA-BF-A3DL-01",0.00218013820737925,0.00101520546030546,0.0200197294791191,0.00493235410771605,0.0221829018994168,0.00241134849086761,0.0219129941916735,0.0556223459836269,4.20655053988994e-05,0.869680916674496
"TCGA-BF-A3DM-01",0.0127537052938864,0,0.0252826805337512,0,0.0515947236041275,0,0.013189921847428,0.00962830412793215,2.41081284089747e-08,0.887550640484746
"TCGA-BF-A3DN-01",0.0114657766529064,0,0.0304608256001437,0.0115790758149474,0.0583550664171899,0,0.0316672067706978,0.0438275151831519,1.29070367858381e-07,0.812644404490595
"TCGA-BF-A5EO-01",0.0190265988076783,0.0102246338138136,0,0.011089226666726,0.0378470611326552,0.012146644647753,0.00915915597786628,0.0173925069158908,0.000606348788344346,0.882507823249273
"TCGA-BF-A5EP-01",0.000845601779077665,0.000256059093670869,0.00878394355999731,0.0068904635205159,0.00570945869510631,0,0.00580904948097522,0.0254210482828693,3.5046025524331e-08,0.946284340541762
"TCGA-BF-A5EQ-01",0.0265711375242261,0.0330022123780977,0.0263408631592949,0.0172698174455421,0.0491494221352588,0.0235567582646978,0.0280820867904507,0.076780174276742,5.28602233507569e-09,0.719247522739668
"TCGA-BF-A5ER-01",0.00400311572168907,0.00191761054329463,0,0.0140886578313829,0.0634627586592636,0.00914443224517556,0.0177263290363309,0.0428667485877771,3.95447102068882e-08,0.846790307830376
"TCGA-BF-A5ES-01",0.0159501604092823,0.00765152706630417,0.0115166031860281,0.00146201358637476,0.0411892819844157,0.0718716704310803,0.00829228711582349,0.0552914951416236,0.000108425471183474,0.786666535607884
"TCGA-BF-A9VF-01",0.000643485349876212,0.00146376385697169,0.00918684273199984,0.00565365287050926,0.0250148489313604,0,0.00549007324316502,0.00616603629658315,4.26647708286755e-09,0.946381292453057
"TCGA-BF-AAOU-01",0.0105977042675832,0.00616710913226483,0,0.00966729161105864,0.038615187720531,0.000534236114660814,0.00131817619289971,0.0216712296700454,0.000144673152040915,0.911284392138916
"TCGA-BF-AAOX-01",0.0035238212539569,0.00248038822522093,0.00619637091239605,0.0108576749937858,0.000428053608153047,0.00166736382334291,6.8822899644776e-06,0.0206806481210202,4.93175565392377e-05,0.954109479215621
"TCGA-BF-AAP0-06",0.0331310448767829,0.104668059541642,0.0326108018057131,0.06465904051499,0.0721312920011241,0.0267739541903909,0.00159520234983083,0.0494326183023643,0.000108106275871024,0.614889880141291
"TCGA-BF-AAP1-01",0.00767595612307106,0,0,0.00385832870330827,0.015570909519684,0,0.0149400454209657,0.0128819031181096,1.2434899275947e-08,0.945072844679962
