"","DC","CD8","Treg","B","M1","M2","Endo","CAF","NK","Tumor"
"TCGA-3M-AB46-01",0.00772431767125087,0,0,0.00913811175830432,0.0681116747316685,0.00711019624727904,0.0117362385322733,0.102640850178693,1.67016861073118e-09,0.793538609210363
"TCGA-3M-AB47-01",0.0228458216372769,0.000908254759154244,0,0.0278734096421184,0.0338877280041051,0.0566965570965772,0.122323451325753,0.188314690591554,2.25170629210155e-09,0.547150084691755
"TCGA-B7-5816-01",0.0401711456005002,0.000371460479473747,0.0257844444395169,0,0.388467165668726,0,0.013366494372794,0.251762608552166,0.00212052794734809,0.277956152939475
"TCGA-B7-5818-01",0.0365375560890068,0.0185827544248153,0.00849777645049744,0.00638738524193262,0.10548778669391,0.013441392735925,0.00883631106888212,0.0673232137380919,0.000592296471347291,0.734313527085592
"TCGA-B7-A5TI-01",0.0207445760679019,0.00309294789475667,0.0188448326229411,0.0224293852391357,0.0521202107345361,0.0407946430680401,0.045308309386365,0.204179573887029,4.14172889519672e-05,0.592444103810343
"TCGA-B7-A5TJ-01",0.0239383099011542,0,0,0.011224352267941,0.017797145544376,0.029346903327635,0.0390515210609248,0.0565576288589039,3.82830305715855e-10,0.822084138656235
"TCGA-B7-A5TK-01",0.0872686590637037,0.0916959753666398,0.0208815742694314,0.00416546841547875,0.0941532415334686,0.0445680281037569,0.0249971460612614,0.0661909078625558,0.00791457083466155,0.558164428489042
"TCGA-B7-A5TN-01",0.0167672127850644,0.00257407237842583,0,0.0153424219379636,0.0945492452268209,0.0180194182200723,0.0252964259410876,0.29624709658211,2.47360830745806e-07,0.531203859567625
"TCGA-BR-4187-01",0.136774095905194,0.0138976308256632,0,0.0231375728725346,0.0210390072697297,0.139586330413163,0.0484512527417509,0.242859928085132,2.9623488415649e-07,0.374253885651949
"TCGA-BR-4191-01",0.111721478219702,0.0165077831315956,0.0287797665374886,0.0210202440326019,0.0948202555876592,0.0942914077324384,0.0340442138150208,0.0377502340617142,0.00216168212436024,0.558902934757419
"TCGA-BR-4201-01",0.0589370118276205,0.00250863924245374,0.0207763724743618,0.0119003818837616,0.0629576256425492,0.0543462297182456,0.0223413250884561,0.265055422759834,0.00164359391160839,0.499533397451109
