"","Sender","Ligand","Expr_Ligand","Receiver","Receptor","Expr_Receptor"
"3","Treg","ITGB1BP1",25.7591255336173,"Endo","ITGB3",19.8048287246891
"7","Treg","ITGB1BP1",25.7591255336173,"M","ITGB3",18.5267742327489
"10","Treg","ITGB1BP1",25.7591255336173,"Treg","ITGB2",282.811722433756
"11","Treg","ITGB1BP1",25.7591255336173,"DC","ITGB2",763.886876233668
"14","Treg","ITGB1BP1",25.7591255336173,"B","ITGB2",189.151145444181
"15","Treg","ITGB1BP1",25.7591255336173,"CD8+ T","ITGB2",484.035578170069
"16","Treg","ITGB1BP1",25.7591255336173,"M","ITGB2",1915.63221127245
"17","Treg","ITGB1BP1",25.7591255336173,"NK","ITGB2",748.727440585207
"19","Treg","ITGB1BP1",25.7591255336173,"Treg","ITGB1",93.8946746128489
"20","Treg","ITGB1BP1",25.7591255336173,"DC","ITGB1",147.77848231565
"21","Treg","ITGB1BP1",25.7591255336173,"Endo","ITGB1",538.151335998271
"22","Treg","ITGB1BP1",25.7591255336173,"CAF","ITGB1",716.95231944345
"23","Treg","ITGB1BP1",25.7591255336173,"B","ITGB1",100.290508266479
"24","Treg","ITGB1BP1",25.7591255336173,"CD8+ T","ITGB1",164.32662675774
"25","Treg","ITGB1BP1",25.7591255336173,"M","ITGB1",237.941010295652
"26","Treg","ITGB1BP1",25.7591255336173,"NK","ITGB1",155.783418927051
"27","Treg","ITGB1BP1",25.7591255336173,"Tumor","ITGB1",383.31
"36","Treg","ITGB1BP1",25.7591255336173,"Tumor","ITGB4",45.9
"39","Treg","ITGB1BP1",25.7591255336173,"Endo","ITGB5",39.5135533304485
"40","Treg","ITGB1BP1",25.7591255336173,"CAF","ITGB5",137.211850107591
"43","Treg","ITGB1BP1",25.7591255336173,"M","ITGB5",61.5934850679697
"45","Treg","ITGB1BP1",25.7591255336173,"Tumor","ITGB5",91.61
"46","Treg","ITGB1BP1",25.7591255336173,"Treg","ITGB7",160.611358506652
"47","Treg","ITGB1BP1",25.7591255336173,"DC","ITGB7",13.4017377436299
"50","Treg","ITGB1BP1",25.7591255336173,"B","ITGB7",78.8995106841952
